Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,Duck,Country
Liaqat Ali (PAK),1975-1978,5,7,3,28,12,7,0,0,1,PAK
CN McCarthy (SA),1948-1951,15,24,15,28,5,3.11,0,0,6,SA
JN Maguire (AUS),1983-1984,3,5,1,28,15*,7,0,0,2,AUS
Mohammad Irfan (PAK),2013-2013,4,7,2,28,14,5.6,0,0,2,PAK
RJ Nicol (NZ),2012-2012,2,4,0,28,19,7,0,0,0,NZ
AT Roberts (WI),1956-1956,1,2,0,28,28,14,0,0,1,WI
J Shuter (ENG),1888-1888,1,1,0,28,28,28,0,0,0,ENG
GB Stevenson (ENG),1980-1981,2,2,1,28,27*,28,0,0,0,ENG
R Vijay Bharadwaj (INDIA),1999-2000,3,3,0,28,22,9.33,0,0,1,INDIA
MD Wettimuny (SL),1983-1983,2,4,0,28,17,7,0,0,1,SL
JA Young (ENG),1947-1949,8,10,5,28,10*,5.6,0,0,3,ENG
GI Allott (NZ),1996-1999,10,15,7,27,8*,3.37,0,0,4,NZ
RMH Cottam (ENG),1969-1973,4,5,1,27,13,6.75,0,0,0,ENG
LV Garrick (WI),2001-2001,1,2,0,27,27,13.5,0,0,1,WI
RK Kleinveldt (SA),2012-2013,4,5,2,27,17*,9,0,0,2,SA
J Lewis (ENG),2006-2006,1,2,0,27,20,13.5,0,0,0,ENG
NJ Maddinson (AUS),2016-2016,3,4,0,27,22,6.75,0,0,1,AUS
RR Singh (INDIA),1998-1998,1,2,0,27,15,13.5,0,0,0,INDIA
EA van der Merwe (SA),1929-1936,2,4,1,27,19,9,0,0,1,SA
AJ Woodcock (AUS),1974-1974,1,1,0,27,27,27,0,0,0,AUS
RA Young (ENG),1907-1908,2,4,0,27,13,6.75,0,0,1,ENG
Atiq-uz-Zaman (PAK),2000-2000,1,2,0,26,25,13,0,0,0,PAK
IW Callen (AUS),1978-1978,1,2,2,26,22*,-,0,0,0,AUS
TW Cartwright (ENG),1964-1965,5,7,2,26,9,5.2,0,0,2,ENG
IA Greig (ENG),1982-1982,2,4,0,26,14,6.5,0,0,0,ENG
A Habib (ENG),1999-1999,2,3,0,26,19,8.66,0,0,0,ENG
F Kuys (SA),1899-1899,1,2,0,26,26,13,0,0,1,SA
PG McShane (AUS),1885-1888,3,6,1,26,12*,5.2,0,0,3,AUS
JW Martin (ENG),1947-1947,1,2,0,26,26,13,0,0,1,ENG
W Newham (ENG),1888-1888,1,2,0,26,17,13,0,0,0,ENG
D Olivier (SA),2017-2019,10,12,5,26,10*,3.71,0,0,3,SA
JE Pothecary (SA),1960-1960,3,4,0,26,12,6.5,0,0,0,SA
K Rai Singh (INDIA),1948-1948,1,2,0,26,24,13,0,0,0,INDIA
RR Ramdass (WI),2005-2005,1,2,0,26,23,13,0,0,0,WI
GA Rowe (SA),1896-1902,5,9,3,26,13*,4.33,0,0,3,SA
GC Viljoen (SA),2016-2016,1,2,1,26,20*,26,0,0,0,SA
CH Vintcent (SA),1889-1892,3,6,0,26,9,4.33,0,0,1,SA
Atif Rauf (PAK),1994-1994,1,2,0,25,16,12.5,0,0,0,PAK
MP Bowden (ENG),1889-1889,2,2,0,25,25,12.5,0,0,1,ENG
RG Draper (SA),1950-1950,2,3,0,25,15,8.33,0,0,0,SA
D Ganesh (INDIA),1997-1997,4,7,3,25,8,6.25,0,0,0,INDIA
GM Griffin (SA),1960-1960,2,4,0,25,14,6.25,0,0,1,SA
LJ Johnson (AUS),1948-1948,1,1,1,25,25*,-,0,0,0,AUS
AJ McKay (NZ),2010-2010,1,2,1,25,20*,25,0,0,0,NZ
CH Mills (SA),1892-1892,1,2,0,25,21,12.5,0,0,0,SA
Mohammad Salman (PAK),2011-2011,2,4,0,25,13,6.25,0,0,1,PAK
TA Munton (ENG),1992-1992,2,2,1,25,25*,25,0,0,1,ENG
JM Patel (INDIA),1955-1960,7,10,1,25,12,2.77,0,0,5,INDIA
RC Saxena (INDIA),1967-1967,1,2,0,25,16,12.5,0,0,0,INDIA
Shahid Mahmood (PAK),1962-1962,1,2,0,25,16,12.5,0,0,0,PAK
IM Sinclair (NZ),1956-1956,2,4,1,25,18*,8.33,0,0,2,NZ
TF Smailes (ENG),1946-1946,1,1,0,25,25,25,0,0,0,ENG
DV Smith (ENG),1957-1957,3,4,1,25,16*,8.33,0,0,1,ENG
VM Tancred (SA),1899-1899,1,2,0,25,18,12.5,0,0,0,SA
GC Tonge (WI),2009-2009,1,2,1,25,23*,25,0,0,0,WI
SL Watkin (ENG),1991-1993,3,5,0,25,13,5,0,0,1,ENG
Abu Jayed (BDESH),2018-2019,7,14,6,24,7*,3,0,0,4,BDESH
DD Blackie (AUS),1928-1929,3,6,3,24,11*,8,0,0,2,AUS
BP Bracewell (NZ),1978-1985,6,12,2,24,8,2.4,0,0,5,NZ
Kabir Khan (PAK),1994-1995,4,5,2,24,10,8,0,0,1,PAK
NA Knox (ENG),1907-1907,2,4,1,24,8*,8,0,0,0,ENG
SH Lewis (WI),2018-2018,2,4,0,24,20,6,0,0,2,WI
MAWR Madurasinghe (SL),1988-1992,3,6,1,24,11,4.8,0,0,1,SL
AM Miller (ENG),1896-1896,1,2,2,24,20*,-,0,0,0,ENG
Mohammad Akram (PAK),1995-2001,9,15,6,24,10*,2.66,0,0,5,PAK
F Mutizwa (ZIM),2012-2012,1,2,0,24,18,12,0,0,0,ZIM
CEL Stuart (WI),2000-2001,6,9,2,24,12*,3.42,0,0,2,WI
Sunzamul Islam (BDESH),2018-2018,1,1,0,24,24,24,0,0,0,BDESH
Zulqarnain (PAK),1986-1986,3,4,0,24,13,6,0,0,0,PAK
LS Baker (WI),2008-2009,4,6,4,23,17,11.5,0,0,1,WI
VA Barton (ENG),1892-1892,1,1,0,23,23,23,0,0,0,ENG
WM Bradley (ENG),1899-1899,2,2,1,23,23*,23,0,0,1,ENG
IP Butchart (ZIM),1995-1995,1,2,0,23,15,11.5,0,0,0,ZIM
PH Carlson (AUS),1979-1979,2,4,0,23,21,5.75,0,0,2,AUS
FE Fisher (NZ),1953-1953,1,2,0,23,14,11.5,0,0,0,NZ
RA Jones (NZ),2003-2003,1,2,0,23,16,11.5,0,0,0,NZ
RC Miller (WI),1953-1953,1,1,0,23,23,23,0,0,0,WI
Qais Ahmad (AFG),2019-2019,1,2,0,23,14,11.5,0,0,0,AFG
AW Seccull (SA),1896-1896,1,2,1,23,17*,23,0,0,0,SA
ML Udawatte (SL),2018-2018,2,4,0,23,19,5.75,0,0,2,SL
BA Williams (AUS),2003-2004,4,6,3,23,10*,7.66,0,0,1,AUS
B Andrews (NZ),1973-1974,2,3,2,22,17,22,0,0,0,NZ
Anwar Hossain Monir (BDESH),2003-2005,3,6,3,22,13,7.33,0,0,1,BDESH
RA Austin (WI),1978-1978,2,2,0,22,20,11,0,0,0,WI
HR Butt (ENG),1896-1896,3,4,1,22,13,7.33,0,0,1,ENG
HG Gaekwad (INDIA),1952-1952,1,2,0,22,14,11,0,0,0,INDIA
C Karunaratne (SL),2019-2019,1,2,0,22,22,11,0,0,1,SL
CKB Kulasekara (SL),2011-2011,1,2,0,22,15,11,0,0,0,SL
PE McIntyre (AUS),1995-1996,2,4,1,22,16,7.33,0,0,2,AUS
G Noblet (AUS),1950-1953,3,4,1,22,13*,7.33,0,0,1,AUS
CH Palmer (ENG),1954-1954,1,2,0,22,22,11,0,0,1,ENG
WN Phillips (AUS),1992-1992,1,2,0,22,14,11,0,0,0,AUS
D Pretorius (SA),2002-2003,4,4,1,22,9,7.33,0,0,1,SA
CAK Rajitha (SL),2018-2019,7,9,2,22,12,3.14,0,0,2,SL
DA Renneberg (AUS),1966-1968,8,13,7,22,9,3.66,0,0,3,AUS
SV Samuelson (SA),1910-1910,1,2,0,22,15,11,0,0,0,SA
Tareq Aziz (BDESH),2004-2004,3,6,4,22,10*,11,0,0,2,BDESH
AL Thomson (AUS),1970-1971,4,5,4,22,12*,22,0,0,1,AUS
RGCE Wijesuriya (SL),1982-1985,4,7,2,22,8,4.4,0,0,2,SL
W Bell (NZ),1954-1954,2,3,3,21,21*,-,0,0,0,NZ
MI Black (WI),2000-2002,6,11,3,21,6,2.62,0,0,4,WI
W Brearley (ENG),1905-1912,4,5,2,21,11*,7,0,0,2,ENG
G Cripps (SA),1892-1892,1,2,0,21,18,10.5,0,0,0,SA
Ehsan Adil (PAK),2013-2015,3,4,0,21,12,5.25,0,0,2,PAK
NR Ferreira (ZIM),2005-2005,1,2,0,21,16,10.5,0,0,0,ZIM
GK Glover (SA),1896-1896,1,2,1,21,18*,21,0,0,0,SA
JC Hill (AUS),1953-1955,3,6,3,21,8*,7,0,0,1,AUS
AN Hornby (ENG),1879-1884,3,6,0,21,9,3.5,0,0,1,ENG
JD Lindsay (SA),1947-1947,3,5,2,21,9*,7,0,0,2,SA
MJ McCague (ENG),1993-1994,3,5,0,21,11,4.2,0,0,2,ENG
GA Manou (AUS),2009-2009,1,2,1,21,13*,21,0,0,0,AUS
WP Masakadza (ZIM),2018-2018,1,2,0,21,17,10.5,0,0,0,ZIM
T Meale (NZ),1958-1958,2,4,0,21,10,5.25,0,0,0,NZ
LE Nagel (AUS),1932-1932,1,2,1,21,21*,21,0,0,1,AUS
DJ Pattinson (ENG),2008-2008,1,2,0,21,13,10.5,0,0,0,ENG
NV Radford (ENG),1986-1988,3,4,1,21,12*,7,0,0,1,ENG
JC Reedman (AUS),1894-1894,1,2,0,21,17,10.5,0,0,0,AUS
VPFA Royle (ENG),1879-1879,1,2,0,21,18,10.5,0,0,0,ENG
J Trim (WI),1948-1952,4,5,1,21,12,5.25,0,0,2,WI
GL Wight (WI),1953-1953,1,1,0,21,21,21,0,0,0,WI
RD Woolley (AUS),1983-1984,2,2,0,21,13,10.5,0,0,0,AUS
RRS Cornwall (WI),2019-2019,2,3,0,20,14,6.66,0,0,0,WI
HT Davis (NZ),1994-1997,5,7,4,20,8*,6.66,0,0,0,NZ
F de Wet (SA),2009-2010,2,2,0,20,20,10,0,0,1,SA
CJ Eady (AUS),1896-1902,2,4,1,20,10*,6.66,0,0,0,AUS
I Khan (SA),2009-2009,1,1,0,20,20,20,0,0,0,SA
LA Markham (SA),1949-1949,1,1,0,20,20,20,0,0,0,SA
T Maruma (ZIM),2013-2013,1,2,0,20,10,10,0,0,0,ZIM
TB Mitchell (ENG),1933-1935,5,6,2,20,9,5,0,0,1,ENG
Naved Latif (PAK),2002-2002,1,2,0,20,20,10,0,0,1,PAK
SS Schultz (ENG),1879-1879,1,2,1,20,20,20,0,0,0,ENG
T Shamsi (SA),2016-2018,2,4,3,20,18*,20,0,0,0,SA
SW Tait (AUS),2005-2008,3,5,2,20,8,6.66,0,0,0,AUS
MF Tremlett (ENG),1948-1948,3,5,2,20,18*,6.66,0,0,2,ENG
A Wharton (ENG),1949-1949,1,2,0,20,13,10,0,0,0,ENG
HV Baumgartner (SA),1913-1913,1,2,0,19,16,9.5,0,0,0,SA
DC Cleverley (NZ),1932-1946,2,4,3,19,10*,19,0,0,0,NZ
A Coxon (ENG),1948-1948,1,2,0,19,19,9.5,0,0,1,ENG
LP Jai (INDIA),1933-1933,1,2,0,19,19,9.5,0,0,1,INDIA
S Jeganathan (SL),1983-1983,2,4,0,19,8,4.75,0,0,1,SL
HW Lee (ENG),1931-1931,1,2,0,19,18,9.5,0,0,0,ENG
AJW McIntyre (ENG),1950-1955,3,6,0,19,7,3.16,0,0,1,ENG
SV Nayak (INDIA),1982-1982,2,3,1,19,11,9.5,0,0,0,INDIA
AL Phehlukwayo (SA),2017-2018,4,4,2,19,9,9.5,0,0,1,SA
OP Stone (ENG),2019-2019,1,2,0,19,19,9.5,0,0,1,ENG
AJ Traicos (SA/ZIM),1970-1993,7,10,4,19,5*,3.16,0,0,2,SA/ZIM
LL Tsotsobe (SA),2010-2011,5,5,2,19,8*,6.33,0,0,2,SA
AR Adams (NZ),2002-2002,1,2,0,18,11,9,0,0,0,NZ
JJ Bumrah (INDIA),2018-2019,12,17,8,18,6,2,0,0,5,INDIA
BB Cooper (AUS),1877-1877,1,2,0,18,15,9,0,0,0,AUS
AJ Evans (ENG),1921-1921,1,2,0,18,14,9,0,0,0,ENG
MJ Gopalan (INDIA),1934-1934,1,2,1,18,11*,18,0,0,0,INDIA
Gursharan Singh (INDIA),1990-1990,1,1,0,18,18,18,0,0,0,INDIA
C Heseltine (ENG),1896-1896,2,2,0,18,18,9,0,0,1,ENG
AR McBrine (IRE),2019-2019,2,4,0,18,11,4.5,0,0,1,IRE
JE McConnon (ENG),1954-1954,2,3,1,18,11,9,0,0,0,ENG
EG McLeod (NZ),1930-1930,1,2,1,18,16,18,0,0,0,NZ
Mohammad Hussain (PAK),1996-1998,2,3,0,18,17,6,0,0,1,PAK
Mujeeb Ur Rahman (AFG),2018-2018,1,2,0,18,15,9,0,0,0,AFG
RAP Nissanka (SL),2003-2003,4,5,2,18,12*,6,0,0,2,SL
NJ O'Brien (IRE),2018-2018,1,2,0,18,18,9,0,0,1,IRE
Sajedul Islam (BDESH),2008-2013,3,6,0,18,6,3,0,0,1,BDESH
RH Scott (NZ),1947-1947,1,1,0,18,18,18,0,0,0,NZ
EL St Hill (WI),1930-1930,2,4,0,18,12,4.5,0,0,1,WI
AI Taylor (SA),1956-1956,1,2,0,18,12,9,0,0,0,SA
HH Alexander (AUS),1933-1933,1,2,1,17,17*,17,0,0,1,AUS
RT Barber (NZ),1956-1956,1,2,0,17,12,8.5,0,0,0,NZ
GD Barlow (ENG),1976-1977,3,5,1,17,7*,4.25,0,0,1,ENG
GA Briant (ZIM),1993-1993,1,2,0,17,16,8.5,0,0,0,ZIM
D Brookes (ENG),1948-1948,1,2,0,17,10,8.5,0,0,0,ENG
LS Brown (SA),1931-1932,2,3,0,17,8,5.66,0,0,0,SA
S Christopherson (ENG),1884-1884,1,1,0,17,17,17,0,0,0,ENG
JL Cox (SA),1913-1914,3,6,1,17,12*,3.4,0,0,3,SA
DT Dewdney (WI),1955-1958,9,12,5,17,5*,2.42,0,0,3,WI
R Dhanraj (WI),1994-1996,4,4,0,17,9,4.25,0,0,0,WI
BBM Gaskin (WI),1948-1948,2,3,0,17,10,5.66,0,0,1,WI
S Guha (INDIA),1967-1969,4,7,2,17,6,3.4,0,0,1,INDIA
Khalid Hasan (PAK),1954-1954,1,2,1,17,10,17,0,0,0,PAK
EZ Matambanadzo (ZIM),1996-1999,3,5,1,17,7,4.25,0,0,1,ZIM
Nasir Jamal (AFG),2019-2019,1,2,0,17,15,8.5,0,0,0,AFG
N Ncube (ZIM),2011-2011,1,2,0,17,14,8.5,0,0,0,ZIM
Niaz Ahmed (PAK),1967-1969,2,3,3,17,16*,-,0,0,0,PAK
AD Pougher (ENG),1892-1892,1,1,0,17,17,17,0,0,0,ENG
N Reid (SA),1921-1921,1,2,0,17,11,8.5,0,0,0,SA
Sohail Tanvir (PAK),2007-2007,2,3,0,17,13,5.66,0,0,1,PAK
PIC Thompson (WI),1996-1997,2,3,1,17,10*,8.5,0,0,0,WI
AGD Wickremasinghe (SL),1989-1992,3,3,1,17,13*,8.5,0,0,0,SL
M Baqa Jilani (INDIA),1936-1936,1,2,1,16,12,16,0,0,0,INDIA
DV Brennan (ENG),1951-1951,2,2,0,16,16,8,0,0,1,ENG
RP Burl (ZIM),2017-2017,1,2,0,16,16,8,0,0,1,ZIM
LS Butler (WI),1955-1955,1,1,0,16,16,16,0,0,0,WI
W Carkeek (AUS),1912-1912,6,5,2,16,6*,5.33,0,0,0,AUS
MVT Fernando (SL),2016-2019,7,11,6,16,6*,3.2,0,0,5,SL
Imran Khan (PAK),2014-2019,10,10,3,16,6,2.28,0,0,5,PAK
CK Langeveldt (SA),2005-2006,6,4,2,16,10,8,0,0,1,SA
JDF Larter (ENG),1962-1965,10,7,2,16,10,3.2,0,0,2,ENG
James Lillywhite jnr (ENG),1877-1877,2,3,1,16,10,8,0,0,0,ENG
Muhammad Musa (PAK),2019-2019,1,2,2,16,12*,-,0,0,0,PAK
R Nanan (WI),1980-1980,1,2,0,16,8,8,0,0,0,WI
Nazmul Hossain (BDESH),2004-2011,2,4,2,16,8*,8,0,0,2,BDESH
JM Neblett (WI),1935-1935,1,2,1,16,11*,16,0,0,0,WI
AE Ochse (SA),1889-1889,2,4,0,16,8,4,0,0,0,SA
MB Owens (NZ),1992-1994,8,12,6,16,8*,2.66,0,0,5,NZ
JB Plimsoll (SA),1947-1947,1,2,1,16,8*,16,0,0,0,SA
AW Powell (SA),1899-1899,1,2,0,16,11,8,0,0,0,SA
JM Sims (ENG),1935-1937,4,4,0,16,12,4,0,0,1,ENG
DJ Terbrugge (SA),1998-2004,7,8,5,16,4*,5.33,0,0,2,SA
VP Terry (ENG),1984-1984,2,3,0,16,8,5.33,0,0,0,ENG
A Waddington (ENG),1920-1921,2,4,0,16,7,4,0,0,1,ENG
Agha Zahid (PAK),1975-1975,1,2,0,15,14,7.5,0,0,0,PAK
Anwar Khan (PAK),1979-1979,1,2,1,15,12,15,0,0,0,PAK
AL Apte (INDIA),1959-1959,1,2,0,15,8,7.5,0,0,0,INDIA
HJ Butler (ENG),1947-1948,2,2,1,15,15*,15,0,0,1,ENG
CG Fichardt (SA),1892-1896,2,4,0,15,10,3.75,0,0,1,SA
JC Hartley (ENG),1906-1906,2,4,0,15,9,3.75,0,0,2,ENG
PA Hibbert (AUS),1977-1977,1,2,0,15,13,7.5,0,0,0,AUS
H Howell (ENG),1920-1924,5,8,6,15,5,7.5,0,0,0,ENG
HL Jackson (ENG),1949-1961,2,2,1,15,8,15,0,0,0,ENG
SS Karim (INDIA),2000-2000,1,1,0,15,15,15,0,0,0,INDIA
C Munro (NZ),2013-2013,1,2,0,15,15,7.5,0,0,1,NZ
T Mupariwa (ZIM),2004-2004,1,2,1,15,14,15,0,0,0,ZIM
W Mwayenga (ZIM),2005-2005,1,2,1,15,14*,15,0,0,0,ZIM
L Ngidi (SA),2018-2019,5,9,4,15,5,3,0,0,2,SA
AW Palm (SA),1927-1928,1,2,0,15,13,7.5,0,0,0,SA
MR Rege (INDIA),1949-1949,1,2,0,15,15,7.5,0,0,1,INDIA
MWW Selvey (ENG),1976-1977,3,5,3,15,5*,7.5,0,0,1,ENG
Sohrawordi Shuvo (BDESH),2011-2011,1,2,0,15,15,7.5,0,0,1,BDESH
MJC Allom (ENG),1930-1931,5,3,2,14,8*,14,0,0,0,ENG
Anwar Hossain (BDESH),2002-2002,1,2,0,14,12,7,0,0,0,BDESH
Azam Khan (PAK),1996-1996,1,1,0,14,14,14,0,0,0,PAK
Azhar Khan (PAK),1980-1980,1,1,0,14,14,14,0,0,0,PAK
GF Cresswell (NZ),1949-1951,3,5,3,14,12*,7,0,0,1,NZ
P Hutchinson (SA),1889-1889,2,4,0,14,11,3.5,0,0,2,SA
TE Kane (IRE),2018-2018,1,2,0,14,14,7,0,0,1,IRE
Khalid Wazir (PAK),1954-1954,2,3,1,14,9*,7,0,0,0,PAK
F Martin (ENG),1890-1892,2,2,0,14,13,7,0,0,0,ENG
S Morris (AUS),1885-1885,1,2,1,14,10*,14,0,0,0,AUS
PWA Mulder (SA),2019-2019,1,2,0,14,9,7,0,0,0,SA
CT Mumba (ZIM),2016-2016,2,4,1,14,10*,4.66,0,0,0,ZIM
B Muzarabani (ZIM),2017-2017,1,2,1,14,10,14,0,0,0,ZIM
MJ Nicholson (AUS),1998-1998,1,2,0,14,9,7,0,0,0,AUS
ASM Oakman (ENG),1956-1956,2,2,0,14,10,7,0,0,0,ENG
CT Patankar (INDIA),1955-1956,1,2,1,14,13,14,0,0,0,INDIA
SR Patil (INDIA),1955-1955,1,1,1,14,14*,-,0,0,0,INDIA
HLE Promnitz (SA),1927-1928,2,4,0,14,5,3.5,0,0,0,SA
A Rose-Innes (SA),1889-1889,2,4,0,14,13,3.5,0,0,2,SA
Subashis Roy (BDESH),2017-2017,4,6,5,14,12*,14,0,0,1,BDESH
NC Tufnell (ENG),1910-1910,1,1,0,14,14,14,0,0,0,ENG
GF Vernon (ENG),1882-1883,1,2,1,14,11*,14,0,0,0,ENG
KIW Wijegunawardene (SL),1991-1992,2,4,1,14,6*,4.66,0,0,0,SL
Ziaur Rahman (BDESH),2013-2013,1,2,0,14,14,7,0,0,1,BDESH
SN Banerjee (INDIA),1949-1949,1,2,0,13,8,6.5,0,0,0,INDIA
A Coningham (AUS),1894-1895,1,2,0,13,10,6.5,0,0,0,AUS
WH Cooper (AUS),1881-1884,2,3,1,13,7,6.5,0,0,0,AUS
Hon.CJ Coventry (ENG),1889-1889,2,2,1,13,12,13,0,0,0,ENG
TWJ Goddard (ENG),1930-1939,8,5,3,13,8,6.5,0,0,1,ENG
L Hone (ENG),1879-1879,1,2,0,13,7,6.5,0,0,0,ENG
Jubair Hossain (BDESH),2014-2015,6,5,2,13,7*,4.33,0,0,1,BDESH
UN Kulkarni (INDIA),1967-1968,4,8,5,13,7,4.33,0,0,1,INDIA
HA Musgrove (AUS),1885-1885,1,2,0,13,9,6.5,0,0,0,AUS
PWG Parker (ENG),1981-1981,1,2,0,13,13,6.5,0,0,1,ENG
R Pollard (ENG),1946-1948,4,3,2,13,10*,13,0,0,0,ENG
RR Powar (INDIA),2007-2007,2,2,0,13,7,6.5,0,0,0,INDIA
S Ragoonath (WI),1999-1999,2,4,1,13,9,4.33,0,0,1,WI
RT Stanyforth (ENG),1927-1928,4,6,1,13,6*,2.6,0,0,1,ENG
RB Stewart (SA),1889-1889,1,2,0,13,9,6.5,0,0,0,SA
PHJ Trimborn (SA),1967-1970,4,4,2,13,11*,6.5,0,0,1,SA
KP Walmsley (NZ),1995-2000,3,5,0,13,5,2.6,0,0,2,NZ
CAK Walton (WI),2009-2009,2,4,0,13,10,3.25,0,0,1,WI
T Yohannan (INDIA),2001-2002,3,4,4,13,8*,-,0,0,0,INDIA
CE Floquet (SA),1910-1910,1,2,1,12,11*,12,0,0,0,SA
Ghulam Abbas (PAK),1967-1967,1,2,0,12,12,6,0,0,1,PAK
GL Gibbs (WI),1955-1955,1,2,0,12,12,6,0,0,1,WI
G Gladstone (WI),1930-1930,1,1,1,12,12*,-,0,0,0,WI
JL Hopwood (ENG),1934-1934,2,3,1,12,8,6,0,0,0,ENG
LWS Kaluperuma (SL),1982-1982,2,4,1,12,11*,4,0,0,2,SL
NT Pascal (WI),2010-2010,2,2,0,12,10,6,0,0,0,WI
ACS Pigott (ENG),1984-1984,1,2,1,12,8*,12,0,0,0,ENG
GK Robertson (NZ),1986-1986,1,1,0,12,12,12,0,0,0,NZ
Shahid Saeed (PAK),1989-1989,1,1,0,12,12,12,0,0,0,PAK
Wafadar Momand (AFG),2018-2019,2,3,1,12,6*,6,0,0,1,AFG
FH Walters (AUS),1885-1885,1,2,0,12,7,6,0,0,0,AUS
CD Watson (WI),1960-1962,7,6,1,12,5,2.4,0,0,2,WI
MG Webb (NZ),1971-1974,3,2,0,12,12,6,0,0,1,NZ
MR Adair (IRE),2019-2019,1,2,0,11,8,5.5,0,0,0,IRE
FS Ahangama (SL),1985-1985,3,3,1,11,11,5.5,0,0,1,SL
BJ Bess (WI),2010-2010,1,2,1,11,11*,11,0,0,1,WI
EG Bock (SA),1935-1935,1,2,2,11,9*,-,0,0,0,SA
SJE Brown (ENG),1996-1996,1,2,1,11,10*,11,0,0,0,ENG
SS Cottrell (WI),2013-2014,2,4,0,11,5,2.75,0,0,1,WI
WF Giffen (AUS),1887-1892,3,6,0,11,3,1.83,0,0,1,AUS
EJ Gregory (AUS),1877-1877,1,2,0,11,11,5.5,0,0,1,AUS
TU Groube (AUS),1880-1880,1,2,0,11,11,5.5,0,0,1,AUS
GM Guard (INDIA),1958-1960,2,2,0,11,7,5.5,0,0,0,INDIA
CEJ Guest (AUS),1963-1963,1,1,0,11,11,11,0,0,0,AUS
AE Hall (SA),1923-1931,7,8,2,11,5,1.83,0,0,4,SA
H Klaasen (SA),2019-2019,1,2,0,11,6,5.5,0,0,0,SA
VM Muddiah (INDIA),1959-1960,2,3,1,11,11,5.5,0,0,1,INDIA
JM Noreiga (WI),1971-1971,4,5,2,11,9,3.66,0,0,1,WI
AL Ochse (SA),1928-1929,3,4,1,11,4*,3.66,0,0,0,SA
G Sharma (INDIA),1985-1990,5,4,1,11,10*,3.66,0,0,2,INDIA
CK Singh (WI),1960-1960,2,3,0,11,11,3.66,0,0,2,WI
J Slight (AUS),1880-1880,1,2,0,11,11,5.5,0,0,1,AUS
GB Street (ENG),1923-1923,1,2,1,11,7*,11,0,0,0,ENG
R Vinay Kumar (INDIA),2012-2012,1,2,0,11,6,5.5,0,0,0,INDIA
MG Waite (AUS),1938-1938,2,3,0,11,8,3.66,0,0,1,AUS
KA Walter (SA),1961-1961,2,3,0,11,10,3.66,0,0,1,SA
BT Watambwa (ZIM),2001-2002,6,8,5,11,4*,3.66,0,0,2,ZIM
PN Webb (NZ),1980-1980,2,3,0,11,5,3.66,0,0,0,NZ
JJ Whitaker (ENG),1986-1986,1,1,0,11,11,11,0,0,0,ENG
JP Agnew (ENG),1984-1985,3,4,3,10,5,10,0,0,0,ENG
Kabir Ali (ENG),2003-2003,1,2,0,10,9,5,0,0,0,ENG
GD Campbell (AUS),1989-1990,4,4,0,10,6,2.5,0,0,2,AUS
B Casson (AUS),2008-2008,1,1,0,10,10,10,0,0,0,AUS
AC Dawson (SA),2003-2003,2,1,0,10,10,10,0,0,0,SA
H Dean (ENG),1912-1912,3,4,2,10,8,5,0,0,1,ENG
AM de Silva (SL),1993-1993,3,3,0,10,9,3.33,0,0,1,SL
WRS de Silva (SL),2002-2007,3,2,1,10,5*,10,0,0,0,SL
CJ Drum (NZ),2001-2002,5,5,2,10,4,3.33,0,0,1,NZ
GM Emmett (ENG),1948-1948,1,2,0,10,10,5,0,0,1,ENG
ESH Giddins (ENG),1999-2000,4,7,3,10,7,2.5,0,0,3,ENG
JR Hodges (AUS),1877-1877,2,4,1,10,8,3.33,0,0,1,AUS
CL Johnson (SA),1896-1896,1,2,0,10,7,5,0,0,0,SA
TA Lloyd (ENG),1984-1984,1,1,1,10,10*,-,0,0,0,ENG
CJ McKay (AUS),2009-2009,1,1,0,10,10,10,0,0,0,AUS
JM Mennie (AUS),2016-2016,1,2,0,10,10,5,0,0,1,AUS
BD Morrison (NZ),1963-1963,1,2,0,10,10,5,0,0,1,NZ
DT Mutendera (ZIM),2000-2000,1,2,0,10,10,5,0,0,1,ZIM
AM Pai (INDIA),1969-1969,1,2,0,10,9,5,0,0,0,INDIA
KE Palmer (ENG),1965-1965,1,1,0,10,10,10,0,0,0,ENG
Pankaj Singh (INDIA),2014-2014,2,4,1,10,9,3.33,0,0,2,INDIA
SF Rehman (PAK),1958-1958,1,2,0,10,8,5,0,0,0,PAK
JPF Travers (AUS),1902-1902,1,2,0,10,9,5,0,0,0,AUS
KEA Upashantha (SL),1999-2002,2,3,0,10,6,3.33,0,0,0,SL
PK Wijetunge (SL),1993-1993,1,2,0,10,10,5,0,0,1,SL
ER Wilson (ENG),1921-1921,1,2,0,10,5,5,0,0,0,ENG
B Yograj Singh (INDIA),1981-1981,1,2,0,10,6,5,0,0,0,INDIA
KN Amalean (SL),1986-1988,2,3,2,9,7*,9,0,0,0,SL
TS Chisoro (ZIM),2017-2017,1,1,0,9,9,9,0,0,0,ZIM
LJ Coldwell (ENG),1962-1964,7,7,5,9,6*,4.5,0,0,1,ENG
EQ Davies (SA),1936-1939,5,8,3,9,3,1.8,0,0,2,SA
M de Lange (SA),2011-2012,2,2,0,9,9,4.5,0,0,1,SA
RR Dower (SA),1899-1899,1,2,0,9,9,4.5,0,0,1,SA
A Hearne (ENG),1892-1892,1,1,0,9,9,9,0,0,0,ENG
